12,2
12,3
12,3
12,2
12,2
22,2
22,2
22,2
22,2
22,2
32,2
32,3
32,3
32,3
32,3
42,1
42,3
42,2
42,3
42,3
52,2
52,3
52,3
52,3
52,4
62,3
62,2
62,4
62,4
62,3
72,3
72,2
72,3
72,2
72,3
82,2
82,3
82,3
82,2
82,4
92,2
92,2
92,3
92,2
92,3
102,2
102,3
102,2
102,3
102,4
112,3
112,3
112,3
112,3
112,3
122,2
122,2
122,3
122,3
122,4
132,1
132,3
132,2
132,4
132,6
142,4
142,3
142,2
142,4
142,4
152,3
152,3
152,3
152,3
152,5
162,4
162,4
162,3
162,4
162,4
172,4
172,3
172,2
172,3
172,5
182,3
182,3
182,4
182,4
182,5
192,3
192,3
192,3
192,4
192,6
202,3
202,3
202,3
202,1
202,4
212,2
212,4
212,3
212,4
212,3
222,2
222,2
222,4
222,4
222,5
232,3
232,4
232,4
232,4
232,4
242,2
242,2
242,2
242,4
242,3
252,1
252,2
252,2
252,3
252,3
262,4
262,5
262,4
262,4
262,6
272,3
272,3
272,3
272,4
272,5
282,2
282,3
282,4
282,4
282,5
292,3
292,3
292,3
292,3
292,5
302,4
302,3
302,3
302,4
302,4
312,3
312,2
312,4
312,4
312,4
312,2
312,3
312,4
312,4
312,3
322,3
322,4
322,4
322,6
322,5
332,2
332,3
332,2
332,5
332,5
342,3
342,4
342,3
342,4
342,4
352,3
352,4
352,2
352,4
352,7
352,2
352,3
352,3
352,5
352,5
362,4
362,4
362,5
362,5
362,6
372,1
372,3
372,3
372,4
372,5
382,4
382,3
382,4
382,3
382,3
392,2
392,3
392,3
392,4
392,4
402,3
402,3
402,3
402,4
402,6
412,5
412,3
412,2
412,4
412,5
